,Model,Precision,Recall,F-score
6,Gaussian Naive Bayes Classifier,0.8333333333333333,0.9285714285714286,0.8615384615384616
1,Decision Tree Classifier,0.6666666666666666,0.7142857142857143,0.55
5,Random Forest Classifier,0.6428571428571428,0.6428571428571428,0.4444444444444445
7,MLP Classifier,0.3888888888888889,0.5,0.43750000000000006
0,Gradient Boosting Classifier,0.475,0.4642857142857143,0.4155844155844156
2,Logistic Regression Classifier,0.1111111111111111,0.5,0.1818181818181818
3,Support Vector Classifier,0.1111111111111111,0.5,0.1818181818181818
4,K-Nearest-Neighbors Classifier,0.16666666666666666,0.07142857142857142,0.1
