,Model,Precision,Recall,F-score
1,Decision Tree Classifier,0.8333333333333333,0.9285714285714286,0.8615384615384616
5,Random Forest Classifier,0.7,0.7857142857142857,0.6493506493506493
7,MLP Classifier,0.3888888888888889,0.5,0.43750000000000006
4,K-Nearest-Neighbors Classifier,0.35714285714285715,0.35714285714285715,0.35714285714285715
0,Gradient Boosting Classifier,0.3333333333333333,0.2857142857142857,0.30769230769230765
6,Gaussian Naive Bayes Classifier,0.3,0.21428571428571427,0.25
2,Logistic Regression Classifier,0.1111111111111111,0.5,0.1818181818181818
3,Support Vector Classifier,0.1111111111111111,0.5,0.1818181818181818
